Site,Date,State,Country,Latitude,Longitude,EnglishName,LatinName,OrigBflyName,ButterflyCount,ObserverCount,HoursObserved
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Dymasia dymas chara,Dymasia dymas chara,Dymasia chara,395,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Zela Metalmark,Emesis zela,Emesis zela,2,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Funereal Duskywing,Erynnis funeralis,Erynnis funeralis,1,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Mournful Duskywing,Erynnis tristis,Erynnis tristis,4,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Variegated Fritillary,Euptoieta claudia,Euptoieta claudia,1,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Mexican Yellow,Eurema mexicana,Eurema mexicana,19,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Sleepy Orange,Eurema nicippe,Eurema nicippe,17,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Eastern Tailed-Blue,Everes comyntas,Everes comyntas,1,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Ceraunus Blue,Hemiargus ceraunus,Hemiargus ceraunus,6,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Reakirt's Blue,Hemiargus isola,Hemiargus isola,9,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Pahaska Skipper,Hesperia pahaska,Hesperia pahaska,1,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Common Buckeye,Junonia coenia,Junonia coenia,13,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Tropical Buckeye (form nigrosuffusa),Junonia genoveva (form nigrosuffusa),Junonia nigrosuffusa,9,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Lyside Sulphur,Kricogonia lyside,Kricogonia lyside,11,4,26
