Site,Date,State,LatinName,EnglishName,Season,Survey,ButterflyCount,HoursObserved
SantaRitaMountains,7/28/2019,AZ,Pontia protodice,Checkered white,Summer,2019 Summer,5,48.5
SantaRitaMountains,9/28/2019,AZ,Pontia protodice,Checkered white,Fall,2019 Fall,6,37.5
SabinoCanyonAZ,4/3/2020,AZ,Pyrgus albescens,White checkered skipper,Spring,2020 Spring,51,62
Cottonwood,8/29/2019,AZ,Pyrgus communis,Common/white checkered skipper,Summer,2019 Summer,2,11
Cottonwood,8/26/2020,AZ,Pyrgus communis,Common/white checkered skipper,Summer,2020 Summer,5,20
GrandCanyonN,7/25/2019,AZ,Pyrgus communis,Common/white checkered skipper,Summer,2019 Summer,7,6
McDowellSonoranPreserve,4/6/2019,AZ,Pyrgus communis,Common/white checkered skipper,Spring,2019 Spring,127,20.55
McDowellSonoranPreserve,4/4/2020,AZ,Pyrgus communis,Common/white checkered skipper,Spring,2020 Spring,8,16.65
McDowellSonoranPreserve,9/25/2021,AZ,Pyrgus communis,Common/white checkered skipper,Fall,2021 Fall,27,28.43
PatagoniaAZ,8/6/2019,AZ,Pyrgus communis,Common/white checkered skipper,Summer,2019 Summer,9,71
PortalAZ,7/25/2019,AZ,Pyrgus communis,Common/white checkered skipper,Summer,2019 Summer,12,4
PortalAZ,8/2/2020,AZ,Pyrgus communis,Common/white checkered skipper,Summer,2020 Summer,1,21
RamseyCanyonAZ,7/28/2020,AZ,Pyrgus communis,Common/white checkered skipper,Summer,2020 Summer,7,55.5
SabinoCanyonAZ,7/29/2020,AZ,Pyrgus communis,Common/white checkered skipper,Summer,2020 Summer,1,14.5
SantaRitaMountains,9/28/2019,AZ,Pyrgus communis,Common/white checkered skipper,Fall,2019 Fall,7,37.5
SantaRitaMountains,10/4/2020,AZ,Pyrgus communis,Common/white checkered skipper,Fall,2020 Fall,5,63.5
PatagoniaAZ,8/6/2019,AZ,Pyrgus philetas,Desert checkered skipper,Summer,2019 Summer,51,71
PortalAZ,7/25/2019,AZ,Pyrgus philetas,Desert checkered skipper,Summer,2019 Summer,1,4
RamseyCanyonAZ,7/28/2020,AZ,Pyrgus philetas,Desert checkered skipper,Summer,2020 Summer,2,55.5
SabinoCanyonAZ,4/3/2020,AZ,Pyrgus philetas,Desert checkered skipper,Spring,2020 Spring,5,62
SantaRitaMountains,7/28/2019,AZ,Pyrgus philetas,Desert checkered skipper,Summer,2019 Summer,2,48.5
SantaRitaMountains,9/28/2019,AZ,Pyrgus philetas,Desert checkered skipper,Fall,2019 Fall,6,37.5
SantaRitaMountains,7/31/2020,AZ,Pyrgus philetas,Desert checkered skipper,Summer,2020 Summer,3,60
SantaRitaMountains,10/4/2020,AZ,Pyrgus philetas,Desert checkered skipper,Fall,2020 Fall,3,63.5
PatagoniaAZ,8/6/2019,AZ,Pyrrhopyge araxes,Dull firetip,Summer,2019 Summer,96,71
PortalAZ,7/25/2019,AZ,Pyrrhopyge araxes,Dull firetip,Summer,2019 Summer,16,4
PortalAZ,8/2/2020,AZ,Pyrrhopyge araxes,Dull firetip,Summer,2020 Summer,761,21
RamseyCanyonAZ,7/28/2020,AZ,Pyrrhopyge araxes,Dull firetip,Summer,2020 Summer,29,55.5
SabinoCanyonAZ,7/29/2020,AZ,Pyrrhopyge araxes,Dull firetip,Summer,2020 Summer,1,14.5
SantaRitaMountains,7/28/2019,AZ,Pyrrhopyge araxes,Dull firetip,Summer,2019 Summer,20,48.5
SantaRitaMountains,7/31/2020,AZ,Pyrrhopyge araxes,Dull firetip,Summer,2020 Summer,262,60
GrandCanyonN,7/25/2019,AZ,Satyrium behrii,Behr's hairstreak,Summer,2019 Summer,1,6
Cottonwood,8/29/2019,AZ,Staphylus ceos,Golden-headed scallopwing,Summer,2019 Summer,1,11
Cottonwood,8/26/2020,AZ,Staphylus ceos,Golden-headed scallopwing,Summer,2020 Summer,9,20
PatagoniaAZ,8/6/2019,AZ,Staphylus ceos,Golden-headed scallopwing,Summer,2019 Summer,255,71
PortalAZ,7/25/2019,AZ,Staphylus ceos,Golden-headed scallopwing,Summer,2019 Summer,27,4
PortalAZ,8/2/2020,AZ,Staphylus ceos,Golden-headed scallopwing,Summer,2020 Summer,9,21
RamseyCanyonAZ,8/1/2019,AZ,Staphylus ceos,Golden-headed scallopwing,Summer,2019 Summer,73,39.5
RamseyCanyonAZ,7/28/2020,AZ,Staphylus ceos,Golden-headed scallopwing,Summer,2020 Summer,16,55.5
SabinoCanyonAZ,7/23/2019,AZ,Staphylus ceos,Golden-headed scallopwing,Summer,2019 Summer,1,38.5
SabinoCanyonAZ,4/3/2020,AZ,Staphylus ceos,Golden-headed scallopwing,Spring,2020 Spring,16,62
SantaRitaMountains,7/28/2019,AZ,Staphylus ceos,Golden-headed scallopwing,Summer,2019 Summer,132,48.5
SantaRitaMountains,9/28/2019,AZ,Staphylus ceos,Golden-headed scallopwing,Fall,2019 Fall,1,37.5
SantaRitaMountains,7/31/2020,AZ,Staphylus ceos,Golden-headed scallopwing,Summer,2020 Summer,39,60
SantaRitaMountains,10/4/2020,AZ,Staphylus ceos,Golden-headed scallopwing,Fall,2020 Fall,1,63.5
Cottonwood,8/29/2019,AZ,Strymon melinus,Gray hairstreak,Summer,2019 Summer,3,11
Cottonwood,8/26/2020,AZ,Strymon melinus,Gray hairstreak,Summer,2020 Summer,2,20
GrandCanyonN,7/25/2019,AZ,Strymon melinus,Gray hairstreak,Summer,2019 Summer,4,6
McDowellSonoranPreserve,4/6/2019,AZ,Strymon melinus,Gray hairstreak,Spring,2019 Spring,2,20.55
McDowellSonoranPreserve,9/28/2019,AZ,Strymon melinus,Gray hairstreak,Fall,2019 Fall,1,18.78
McDowellSonoranPreserve,4/4/2020,AZ,Strymon melinus,Gray hairstreak,Spring,2020 Spring,1,16.65
McDowellSonoranPreserve,9/26/2020,AZ,Strymon melinus,Gray hairstreak,Fall,2020 Fall,2,15.33
