Year,Month,Day,DataSource,Site,AcceptedName,ButterflyCount,HoursObserved
1989,8,20,Helen,AtascosaHighlandsAZ,Amblyscirtes oslari,5,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Anteos clorinde,3,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Apodemia palmeri,7,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Asterocampa celtis,1,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Asterocampa leilia,84,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Atlides halesus,2,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Atrytonopsis edwardsii,11,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Atrytonopsis lunus,5,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Autochton cellus,4,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Battus philenor,49,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Calephelis arizonensis,1,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Callophrys gryneus,1,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Celotes nessus,28,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Chlosyne lacinia,2,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Chlosyne theona,1,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Codatractus arizonensis,33,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Codatractus mysie,1,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Cogia hippalus,69,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Colias cesonia,7,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Colias eurytheme,6,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Copaeodes aurantiacus,17,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Danaus gilippus,110,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Danaus plexippus,38,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Dymasia dymas,127,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Electrostrymon mathewi,13,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Emesis zela,1,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Erynnis funeralis,14,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Erynnis tristis,5,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Euptoieta claudia,7,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Eurema mexicana,2,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Eurema nicippe,33,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Eurema proterpia,90,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Heliopetes domicella,1,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Hemiargus ceraunus,10,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Hemiargus isola,4,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Hesperia pahaska,2,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Junonia coenia,1,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Junonia genoveva,3,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Kricogonia lyside,7,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Leptotes marina,122,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Lerodea eufala,1,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Libytheana carinenta,48,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Limenitis archippus,1,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Limenitis arthemis,5,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Megisto rubricata,16,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Ministrymon leda,1,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Nathalis iole,63,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Papilio cresphontes,26,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Papilio multicaudata,65,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Papilio polyxenes,2,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Phoebis agarithe,16,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Phoebis sennae,470,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Pholisora catullus,28,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Phyciodes picta,7,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Phyciodes texana,2,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Piruna cingo,8,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Plebejus acmon,1,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Polites carus,1,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Polygonus leo,5,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Pyrgus albescens,3,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Pyrgus philetas,18,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Pyrrhopyge araxes,5,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Staphylus ceos,28,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Strymon melinus,4,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Systasea pulverulenta,9,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Systasea zampa,7,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Texola elada,41,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Thorybes drusius,19,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Thorybes pylades,38,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Urbanus dorantes,4,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Vanessa atalanta,2,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Vanessa cardui,13,NA
1989,8,20,Helen,AtascosaHighlandsAZ,Vanessa virginiensis,5,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Achalarus casica,4,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Adelpha bredowii,2,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Agraulis vanillae,130,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Amblyscirtes aenus,16,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Amblyscirtes elissa,3,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Amblyscirtes nysa,6,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Anaea aidea,3,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Anaea andria,2,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Ancyloxypha arene,6,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Anteos clorinde,7,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Apodemia hepburni,1,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Apodemia mormo,6,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Apodemia palmeri,575,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Asterocampa celtis,10,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Asterocampa clyton,3,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Asterocampa leilia,90,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Atlides halesus,8,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Atrytonopsis cestus,2,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Atrytonopsis edwardsii,104,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Autochton cellus,9,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Battus philenor,197,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Brephidium exile,5,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Calephelis arizonensis,10,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Calephelis nemesis,2,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Callophrys gryneus,1,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Celotes nessus,4,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Chioides catillus,1,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Chlosyne lacinia,26,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Chlosyne theona,8,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Codatractus arizonensis,34,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Cogia caicus,6,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Cogia hippalus,480,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Colias cesonia,121,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Colias eurytheme,29,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Copaeodes aurantiacus,51,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Cyllopsis pyracmon,4,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Danaus gilippus,528,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Danaus plexippus,34,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Dymasia dymas,183,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Electrostrymon mathewi,14,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Emesis ares,4,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Emesis zela,10,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Erynnis funeralis,52,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Erynnis tristis,22,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Euptoieta claudia,115,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Euptoieta hegesia,3,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Eurema boisduvaliana,3,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Eurema mexicana,143,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Eurema nicippe,57,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Eurema nise,1,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Eurema proterpia,127,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Heliconius charithonia,1,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Heliopetes domicella,3,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Hemiargus ceraunus,200,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Hemiargus isola,140,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Hesperia pahaska,3,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Hylephila phyleus,6,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Junonia coenia,2,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Junonia genoveva,26,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Kricogonia lyside,7,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Leptotes marina,335,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Libytheana carinenta,576,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Limenitis archippus,3,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Limenitis arthemis,5,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Megisto rubricata,67,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Ministrymon leda,548,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Nathalis iole,83,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Papilio cresphontes,25,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Papilio multicaudata,69,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Papilio polyxenes,60,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Phoebis agarithe,9,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Phoebis philea,3,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Phoebis sennae,950,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Pholisora catullus,50,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Phyciodes picta,10,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Phyciodes texana,28,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Plebejus acmon,3,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Polites carus,1,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Polygonus leo,15,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Pontia protodice,24,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Pyrgus albescens,29,NA
1990,8,18,Helen,AtascosaHighlandsAZ,Pyrgus philetas,33,NA
