,,,,,,,,,,Values,
sp,site,year,fullDate,state,hours,date,Common Name,Season,Survey,Sum of count,Sum of PreserveOfficial
Calephelis arizonensis,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Arizona metalmark,Fall,2020 Fall,57,57
Calephelis nemesis,BoyceThompsonArboretum,2020,09/12/2020,AZ,7.5,256,Fatal metalmark,Fall,2020 Fall,2,2
Calephelis nemesis,McDowellSonoranPreserve,2021,09/25/2021,AZ,28.43,268,Fatal metalmark,Fall,2021 Fall,1,1
Calephelis nemesis,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Fatal metalmark,Summer,2019 Summer,59,59
Calephelis nemesis,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Fatal metalmark,Summer,2019 Summer,7,7
Calephelis nemesis,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Fatal metalmark,Summer,2020 Summer,1,1
Calephelis nemesis,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Fatal metalmark,Summer,2019 Summer,8,8
Calephelis nemesis,SabinoCanyonAZ,2020,07/29/2020,AZ,14.5,211,Fatal metalmark,Summer,2020 Summer,4,4
Calephelis nemesis,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Fatal metalmark,Summer,2019 Summer,2,2
Calephelis nemesis,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Fatal metalmark,Fall,2019 Fall,9,9
Calephelis nemesis,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Fatal metalmark,Summer,2020 Summer,3,3
Callophrys augustinus,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Brown elfin,Spring,2020 Spring,29,29
Callophrys gryneus siva,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Siva juniper hairstreak,Summer,2019 Summer,1,1
Callophrys gryneus siva,PortalAZ,2019,07/25/2019,AZ,4,206,Siva juniper hairstreak,Summer,2019 Summer,5,5
Callophrys gryneus siva,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Siva juniper hairstreak,Summer,2020 Summer,5,5
Callophrys gryneus siva,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Siva juniper hairstreak,Spring,2020 Spring,11,11
Callophrys gryneus siva,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Siva juniper hairstreak,Summer,2019 Summer,3,3
Callophrys gryneus siva,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Siva juniper hairstreak,Summer,2020 Summer,3,3
Callophrys gryneus siva,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Siva juniper hairstreak,Fall,2020 Fall,2,2
Callophrys spinetorum,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Thicket hairstreak,Summer,2019 Summer,2,2
Callophrys spinetorum,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Thicket hairstreak,Spring,2020 Spring,1,1
Callophrys spinetorum,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Thicket hairstreak,Summer,2020 Summer,2,2
Celastrina argiolus,Cottonwood,2019,08/29/2019,AZ,11,241,Spring azure,Summer,2019 Summer,3,3
Celastrina argiolus,GrandCanyonN,2019,07/25/2019,AZ,6,206,Spring azure,Summer,2019 Summer,10,10
Celastrina argiolus,McDowellSonoranPreserve,2019,04/06/2019,AZ,20.55,96,Spring azure,Spring,2019 Spring,48,44
Celastrina argiolus,McDowellSonoranPreserve,2019,09/28/2019,AZ,18.78,271,Spring azure,Fall,2019 Fall,2,2
Celastrina argiolus,McDowellSonoranPreserve,2020,04/04/2020,AZ,16.65,95,Spring azure,Spring,2020 Spring,169,154
Celastrina argiolus,McDowellSonoranPreserve,2021,09/25/2021,AZ,28.43,268,Spring azure,Fall,2021 Fall,13,12
Celastrina argiolus,PortalAZ,2019,07/25/2019,AZ,4,206,Spring azure,Summer,2019 Summer,11,11
Celastrina argiolus,PortalAZ,2020,08/02/2020,AZ,21,215,Spring azure,Summer,2020 Summer,3,3
Celastrina argiolus,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Spring azure,Summer,2019 Summer,16,16
Celastrina argiolus,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Spring azure,Summer,2020 Summer,86,86
Celastrina argiolus,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Spring azure,Summer,2019 Summer,264,264
Celastrina argiolus,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Spring azure,Spring,2020 Spring,283,283
Celastrina argiolus,SabinoCanyonAZ,2020,07/29/2020,AZ,14.5,211,Spring azure,Summer,2020 Summer,17,17
Celastrina argiolus,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Spring azure,Summer,2019 Summer,42,42
Celastrina argiolus,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Spring azure,Fall,2019 Fall,110,110
Celastrina argiolus,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Spring azure,Summer,2020 Summer,377,377
Celastrina argiolus,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Spring azure,Fall,2020 Fall,21,21
Celotes nessus,BoyceThompsonArboretum,2020,09/12/2020,AZ,7.5,256,Common streaky skipper,Fall,2020 Fall,1,1
Celotes nessus,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Common streaky skipper,Summer,2019 Summer,9,9
Celotes nessus,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Common streaky skipper,Summer,2019 Summer,5,5
Celotes nessus,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Common streaky skipper,Spring,2020 Spring,11,11
Celotes nessus,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Common streaky skipper,Summer,2019 Summer,36,36
Celotes nessus,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Common streaky skipper,Summer,2020 Summer,5,5
Chioides albofasciatus,PatagoniaAZ,2019,08/06/2019,AZ,71,218,White-striped longtail,Summer,2019 Summer,2,2
Chiomara asychis,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,White-patched skipper,Spring,2020 Spring,1,1
Chlosyne acastus,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Sagebrush checkerspot,Spring,2020 Spring,48,48
Chlosyne californica,McDowellSonoranPreserve,2019,04/06/2019,AZ,20.55,96,California patch,Spring,2019 Spring,65,58
Chlosyne californica,McDowellSonoranPreserve,2020,04/04/2020,AZ,16.65,95,California patch,Spring,2020 Spring,25,24
Chlosyne californica,McDowellSonoranPreserve,2021,04/03/2021,AZ,16.37,93,California patch,Spring,2021 Spring,15,15
Chlosyne californica,McDowellSonoranPreserve,2021,09/25/2021,AZ,28.43,268,California patch,Fall,2021 Fall,405,404
Chlosyne cyneas,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Black checkerspot,Spring,2020 Spring,1,1
Chlosyne theona,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Theona checkerspot,Summer,2019 Summer,2,2
Chlosyne theona,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Theona checkerspot,Summer,2019 Summer,1,1
Chlosyne theona,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Theona checkerspot,Summer,2020 Summer,9,9
Chlosyne theona,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Theona checkerspot,Summer,2019 Summer,2,2
Chlosyne theona,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Theona checkerspot,Fall,2019 Fall,4,4
Chlosyne theona,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Theona checkerspot,Summer,2020 Summer,4,4
Chlosyne theona,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Theona checkerspot,Fall,2020 Fall,1,1
Chlosyne fulvia,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Fulvia checkerspot,Spring,2020 Spring,21,21
Cholsyne lacinia,Cottonwood,2019,08/29/2019,AZ,11,241,Bordered Patch,Summer,2019 Summer,1,1
Cholsyne lacinia,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Bordered Patch,Summer,2019 Summer,24,24
Cholsyne lacinia,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Bordered Patch,Summer,2019 Summer,5,5
Cholsyne lacinia,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Bordered Patch,Summer,2020 Summer,12,12
Cholsyne lacinia,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Bordered Patch,Summer,2019 Summer,2,2
Cholsyne lacinia,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Bordered Patch,Fall,2019 Fall,10,10
Cholsyne lacinia,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Bordered Patch,Summer,2020 Summer,14,14
Codatractus arizonensis,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Arizona skipper,Summer,2019 Summer,20,20
Codatractus arizonensis,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Arizona skipper,Summer,2019 Summer,1,1
Codatractus arizonensis,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Arizona skipper,Summer,2020 Summer,14,14
Codatractus arizonensis,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Arizona skipper,Summer,2019 Summer,35,35
Codatractus arizonensis,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Arizona skipper,Summer,2020 Summer,26,26
Codatractus valeriana,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Valeriana skipper,Summer,2019 Summer,1,1
Cogia caicus,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Gold-costa skipper,Summer,2019 Summer,5,5
Cogia caicus,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Gold-costa skipper,Summer,2020 Summer,12,12
Cogia hippalus,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Acacia skipper,Summer,2019 Summer,108,108
Cogia hippalus,PortalAZ,2019,07/25/2019,AZ,4,206,Acacia skipper,Summer,2019 Summer,4,4
Cogia hippalus,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Acacia skipper,Summer,2019 Summer,18,18
Cogia hippalus,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Acacia skipper,Summer,2020 Summer,10,10
Cogia hippalus,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Acacia skipper,Summer,2019 Summer,20,20
Cogia hippalus,SabinoCanyonAZ,2020,07/29/2020,AZ,14.5,211,Acacia skipper,Summer,2020 Summer,2,2
Cogia hippalus,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Acacia skipper,Summer,2019 Summer,93,93
Cogia hippalus,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Acacia skipper,Summer,2020 Summer,41,41
Cogia hippalus,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Acacia skipper,Fall,2020 Fall,1,1
Colias eurytheme,BoyceThompsonArboretum,2019,09/07/2019,AZ,10,250,Orange sulphur,Fall,2019 Fall,5,5
Colias eurytheme,Cottonwood,2019,08/29/2019,AZ,11,241,Orange sulphur,Summer,2019 Summer,8,8
Colias eurytheme,Cottonwood,2020,08/26/2020,AZ,20,239,Orange sulphur,Summer,2020 Summer,3,3
Colias eurytheme,GrandCanyonN,2019,07/25/2019,AZ,6,206,Orange sulphur,Summer,2019 Summer,7,7
Colias eurytheme,McDowellSonoranPreserve,2019,04/06/2019,AZ,20.55,96,Orange sulphur,Spring,2019 Spring,40,40
Colias eurytheme,McDowellSonoranPreserve,2019,09/28/2019,AZ,18.78,271,Orange sulphur,Fall,2019 Fall,5,5
Colias eurytheme,McDowellSonoranPreserve,2020,04/04/2020,AZ,16.65,95,Orange sulphur,Spring,2020 Spring,2,2
Colias eurytheme,McDowellSonoranPreserve,2021,04/03/2021,AZ,16.37,93,Orange sulphur,Spring,2021 Spring,1,1
Colias eurytheme,McDowellSonoranPreserve,2021,09/25/2021,AZ,28.43,268,Orange sulphur,Fall,2021 Fall,10,10
Colias eurytheme,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Orange sulphur,Summer,2019 Summer,21,21
Colias eurytheme,PortalAZ,2019,07/25/2019,AZ,4,206,Orange sulphur,Summer,2019 Summer,21,21
Colias eurytheme,PortalAZ,2020,08/02/2020,AZ,21,215,Orange sulphur,Summer,2020 Summer,27,27
Colias eurytheme,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Orange sulphur,Summer,2019 Summer,19,19
Colias eurytheme,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Orange sulphur,Summer,2020 Summer,7,7
Colias eurytheme,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Orange sulphur,Summer,2019 Summer,16,16
Colias eurytheme,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Orange sulphur,Spring,2020 Spring,3,3
Colias eurytheme,SabinoCanyonAZ,2020,07/29/2020,AZ,14.5,211,Orange sulphur,Summer,2020 Summer,12,12
Colias eurytheme,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Orange sulphur,Summer,2019 Summer,4,4
Colias eurytheme,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Orange sulphur,Fall,2019 Fall,3,3
Colias eurytheme,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Orange sulphur,Summer,2020 Summer,23,23
Colias eurytheme,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Orange sulphur,Fall,2020 Fall,6,6
Colias philodice,GrandCanyonN,2019,07/25/2019,AZ,6,206,Clouded sulphur,Summer,2019 Summer,1,1
Colias philodice,PortalAZ,2019,07/25/2019,AZ,4,206,Clouded sulphur,Summer,2019 Summer,7,7
Colias philodice,PortalAZ,2020,08/02/2020,AZ,21,215,Clouded sulphur,Summer,2020 Summer,1,1
Colias philodice,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Clouded sulphur,Summer,2019 Summer,1,1
Copaeodes aurantiaca,Cottonwood,2019,08/29/2019,AZ,11,241,Orange skipperling,Summer,2019 Summer,1,1
Copaeodes aurantiaca,Cottonwood,2020,08/26/2020,AZ,20,239,Orange skipperling,Summer,2020 Summer,1,1
Copaeodes aurantiaca,McDowellSonoranPreserve,2021,09/25/2021,AZ,28.43,268,Orange skipperling,Fall,2021 Fall,11,11
Copaeodes aurantiaca,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Orange skipperling,Summer,2019 Summer,96,96
Copaeodes aurantiaca,PortalAZ,2019,07/25/2019,AZ,4,206,Orange skipperling,Summer,2019 Summer,35,35
Copaeodes aurantiaca,PortalAZ,2020,08/02/2020,AZ,21,215,Orange skipperling,Summer,2020 Summer,5,5
Copaeodes aurantiaca,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Orange skipperling,Summer,2019 Summer,11,11
Copaeodes aurantiaca,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Orange skipperling,Summer,2020 Summer,14,14
Copaeodes aurantiaca,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Orange skipperling,Summer,2019 Summer,9,9
Copaeodes aurantiaca,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Orange skipperling,Spring,2020 Spring,62,62
Copaeodes aurantiaca,SabinoCanyonAZ,2020,07/29/2020,AZ,14.5,211,Orange skipperling,Summer,2020 Summer,2,2
Copaeodes aurantiaca,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Orange skipperling,Summer,2019 Summer,19,19
Copaeodes aurantiaca,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Orange skipperling,Fall,2019 Fall,38,38
Copaeodes aurantiaca,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Orange skipperling,Summer,2020 Summer,14,14
Copaeodes aurantiaca,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Orange skipperling,Fall,2020 Fall,26,26
Copaeodes minima,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Southern skipperling,Summer,2019 Summer,1,1
Cyllopsis pertepida,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Canyonland Satyr,Summer,2019 Summer,2,2
Cyllopsis pertepida,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Canyonland Satyr,Summer,2020 Summer,1,1
Cyllopsis pertepida,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Canyonland Satyr,Summer,2019 Summer,1,1
Cyllopsis pyracmon,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Nabokov's satyr,Summer,2019 Summer,5,5
Cyllopsis pyracmon,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Nabokov's satyr,Summer,2019 Summer,2,2
Cyllopsis pyracmon,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Nabokov's satyr,Summer,2020 Summer,4,4
Cyllopsis pyracmon,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Nabokov's satyr,Summer,2019 Summer,1,1
Cyllopsis pyracmon,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Nabokov's satyr,Summer,2019 Summer,3,3
Cyllopsis pyracmon,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Nabokov's satyr,Fall,2019 Fall,9,9
Cyllopsis pyracmon,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Nabokov's satyr,Summer,2020 Summer,2,2
Cyllopsis pyracmon,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Nabokov's satyr,Fall,2020 Fall,5,5
Danaus plexippus,BoyceThompsonArboretum,2019,09/07/2019,AZ,10,250,Monarch,Fall,2019 Fall,1,1
Danaus plexippus,Cottonwood,2019,08/29/2019,AZ,11,241,Monarch,Summer,2019 Summer,1,1
Danaus plexippus,Cottonwood,2020,08/26/2020,AZ,20,239,Monarch,Summer,2020 Summer,1,1
Danaus plexippus,GrandCanyonN,2019,07/25/2019,AZ,6,206,Monarch,Summer,2019 Summer,1,1
Danaus plexippus,McDowellSonoranPreserve,2019,04/06/2019,AZ,20.55,96,Monarch,Spring,2019 Spring,1,1
Danaus plexippus,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Monarch,Summer,2019 Summer,8,8
Danaus plexippus,PortalAZ,2019,07/25/2019,AZ,4,206,Monarch,Summer,2019 Summer,1,1
Danaus plexippus,PortalAZ,2020,08/02/2020,AZ,21,215,Monarch,Summer,2020 Summer,18,18
Danaus plexippus,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Monarch,Summer,2019 Summer,2,2
Danaus plexippus,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Monarch,Summer,2020 Summer,2,2
Danaus plexippus,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Monarch,Summer,2019 Summer,2,2
Danaus plexippus,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Monarch,Spring,2020 Spring,1,1
Danaus plexippus,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Monarch,Fall,2019 Fall,1,1
Danaus plexippus,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Monarch,Fall,2020 Fall,1,1
Danuas gilippus,BoyceThompsonArboretum,2019,09/07/2019,AZ,10,250,Queen,Fall,2019 Fall,93,93
Danuas gilippus,BoyceThompsonArboretum,2020,09/12/2020,AZ,7.5,256,Queen,Fall,2020 Fall,5,5
Danuas gilippus,Cottonwood,2019,08/29/2019,AZ,11,241,Queen,Summer,2019 Summer,44,44
Danuas gilippus,Cottonwood,2020,08/26/2020,AZ,20,239,Queen,Summer,2020 Summer,9,9
Danuas gilippus,GrandCanyonN,2019,07/25/2019,AZ,6,206,Queen,Summer,2019 Summer,1,1
Danuas gilippus,McDowellSonoranPreserve,2019,04/06/2019,AZ,20.55,96,Queen,Spring,2019 Spring,5,4
Danuas gilippus,McDowellSonoranPreserve,2020,04/04/2020,AZ,16.65,95,Queen,Spring,2020 Spring,7,6
Danuas gilippus,McDowellSonoranPreserve,2021,04/03/2021,AZ,16.37,93,Queen,Spring,2021 Spring,1,1
Danuas gilippus,McDowellSonoranPreserve,2021,09/25/2021,AZ,28.43,268,Queen,Fall,2021 Fall,81,79
Danuas gilippus,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Queen,Summer,2019 Summer,28,28
Danuas gilippus,PortalAZ,2019,07/25/2019,AZ,4,206,Queen,Summer,2019 Summer,11,11
Danuas gilippus,PortalAZ,2020,08/02/2020,AZ,21,215,Queen,Summer,2020 Summer,9,9
Danuas gilippus,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Queen,Summer,2019 Summer,24,24
Danuas gilippus,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Queen,Summer,2020 Summer,30,30
Danuas gilippus,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Queen,Summer,2019 Summer,17,17
Danuas gilippus,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Queen,Spring,2020 Spring,19,19
Danuas gilippus,SabinoCanyonAZ,2020,07/29/2020,AZ,14.5,211,Queen,Summer,2020 Summer,8,8
Danuas gilippus,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Queen,Summer,2019 Summer,7,7
Danuas gilippus,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Queen,Fall,2019 Fall,12,12
Danuas gilippus,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Queen,Fall,2020 Fall,2,2
Emesis zela,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Zela metalmark,Summer,2019 Summer,24,24
Emesis zela,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Zela metalmark,Summer,2019 Summer,6,6
Emesis zela,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Zela metalmark,Summer,2020 Summer,11,11
Emesis zela,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Zela metalmark,Summer,2019 Summer,1,1
Emesis zela,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Zela metalmark,Spring,2020 Spring,1,1
Emesis zela,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Zela metalmark,Summer,2019 Summer,5,5
Emesis zela,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Zela metalmark,Summer,2020 Summer,7,7
Emesis ares,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Ares metalmark,Summer,2019 Summer,1,1
Emesis ares,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Ares metalmark,Summer,2020 Summer,5,5
Emesis ares,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Ares metalmark,Summer,2020 Summer,2,2
Epargyreus clarus,PortalAZ,2019,07/25/2019,AZ,4,206,Silver-spotted skipper,Summer,2019 Summer,7,7
Epargyreus clarus,PortalAZ,2020,08/02/2020,AZ,21,215,Silver-spotted skipper,Summer,2020 Summer,15,15
Epargyreus clarus,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Silver-spotted skipper,Summer,2020 Summer,12,12
Epargyreus clarus,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Silver-spotted skipper,Summer,2019 Summer,5,5
Epargyreus clarus,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Silver-spotted skipper,Spring,2020 Spring,1,1
Epargyreus clarus,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Silver-spotted skipper,Summer,2019 Summer,1,1
Epargyreus clarus,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Silver-spotted skipper,Summer,2020 Summer,4,4
Erora quaderna,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Arizona hairstreak,Summer,2019 Summer,8,8
Erora quaderna,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Arizona hairstreak,Summer,2020 Summer,4,4
Erora quaderna,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Arizona hairstreak,Summer,2019 Summer,12,12
Erora quaderna,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Arizona hairstreak,Spring,2020 Spring,5,5
Erora quaderna,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Arizona hairstreak,Summer,2019 Summer,1,1
Erynnis afranius,Cottonwood,2019,08/29/2019,AZ,11,241,Afranius duskywing,Summer,2019 Summer,1,1
Erynnis afranius,Cottonwood,2020,08/26/2020,AZ,20,239,Afranius duskywing,Summer,2020 Summer,1,1
Erynnis brizo,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Sleepy duskywing,Spring,2020 Spring,12,12
Erynnis funeralis,BoyceThompsonArboretum,2019,09/07/2019,AZ,10,250,Funereal duskywing,Fall,2019 Fall,2,2
Erynnis funeralis,Cottonwood,2019,08/29/2019,AZ,11,241,Funereal duskywing,Summer,2019 Summer,1,1
Erynnis funeralis,McDowellSonoranPreserve,2019,04/06/2019,AZ,20.55,96,Funereal duskywing,Spring,2019 Spring,30,24
Erynnis funeralis,McDowellSonoranPreserve,2019,09/28/2019,AZ,18.78,271,Funereal duskywing,Fall,2019 Fall,1,0
Erynnis funeralis,McDowellSonoranPreserve,2020,04/04/2020,AZ,16.65,95,Funereal duskywing,Spring,2020 Spring,6,6
Erynnis funeralis,McDowellSonoranPreserve,2021,09/25/2021,AZ,28.43,268,Funereal duskywing,Fall,2021 Fall,65,61
Erynnis funeralis,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Funereal duskywing,Summer,2019 Summer,7,7
Erynnis funeralis,PortalAZ,2019,07/25/2019,AZ,4,206,Funereal duskywing,Summer,2019 Summer,2,2
Erynnis funeralis,PortalAZ,2020,08/02/2020,AZ,21,215,Funereal duskywing,Summer,2020 Summer,1,1
Erynnis funeralis,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Funereal duskywing,Summer,2019 Summer,4,4
Erynnis funeralis,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Funereal duskywing,Summer,2020 Summer,1,1
Erynnis funeralis,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Funereal duskywing,Summer,2019 Summer,10,10
Erynnis funeralis,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Funereal duskywing,Spring,2020 Spring,18,18
Erynnis funeralis,SabinoCanyonAZ,2020,07/29/2020,AZ,14.5,211,Funereal duskywing,Summer,2020 Summer,9,9
Erynnis funeralis,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Funereal duskywing,Summer,2019 Summer,2,2
Erynnis funeralis,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Funereal duskywing,Fall,2019 Fall,6,6
Erynnis funeralis,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Funereal duskywing,Summer,2020 Summer,1,1
Erynnis funeralis,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Funereal duskywing,Fall,2020 Fall,1,1
Erynnis juvenalis,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Juvenal's duskywing,Summer,2019 Summer,1,1
Erynnis juvenalis,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Juvenal's duskywing,Summer,2019 Summer,6,6
Erynnis juvenalis,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Juvenal's duskywing,Summer,2020 Summer,1,1
Erynnis juvenalis,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Juvenal's duskywing,Summer,2020 Summer,1,1
Erynnis meridianus,BoyceThompsonArboretum,2020,09/12/2020,AZ,7.5,256,Meridian duskywing,Fall,2020 Fall,1,1
Erynnis meridianus,Cottonwood,2019,08/29/2019,AZ,11,241,Meridian duskywing,Summer,2019 Summer,2,2
Erynnis meridianus,GrandCanyonN,2019,07/25/2019,AZ,6,206,Meridian duskywing,Summer,2019 Summer,1,1
Erynnis meridianus,PortalAZ,2020,08/02/2020,AZ,21,215,Meridian duskywing,Summer,2020 Summer,1,1
