,,,,,,,,,,Values,
sp,site,year,fullDate,state,hours,date,Common Name,Season,Survey,Sum of count,Sum of PreserveOfficial
Amblyscirtes aenus,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Bronze roadside skipper,Summer,2019 Summer,6,6
Amblyscirtes aenus,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Bronze roadside skipper,Summer,2019 Summer,18,18
Amblyscirtes aenus,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Bronze roadside skipper,Summer,2020 Summer,15,15
Amblyscirtes cassus,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Cassus roadside skipper,Summer,2019 Summer,6,6
Amblyscirtes cassus,PortalAZ,2019,07/25/2019,AZ,4,206,Cassus roadside skipper,Summer,2019 Summer,18,18
Amblyscirtes cassus,PortalAZ,2020,08/02/2020,AZ,21,215,Cassus roadside skipper,Summer,2020 Summer,8,8
Amblyscirtes cassus,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Cassus roadside skipper,Summer,2019 Summer,4,4
Amblyscirtes cassus,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Cassus roadside skipper,Summer,2020 Summer,16,16
Amblyscirtes cassus,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Cassus roadside skipper,Summer,2019 Summer,21,21
Amblyscirtes cassus,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Cassus roadside skipper,Summer,2020 Summer,26,26
Amblyscirtes eos,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Dotted roadside skipper,Summer,2019 Summer,6,6
Amblyscirtes eos,PortalAZ,2019,07/25/2019,AZ,4,206,Dotted roadside skipper,Summer,2019 Summer,2,2
Amblyscirtes eos,PortalAZ,2020,08/02/2020,AZ,21,215,Dotted roadside skipper,Summer,2020 Summer,3,3
Amblyscirtes eos,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Dotted roadside skipper,Summer,2019 Summer,8,8
Amblyscirtes eos,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Dotted roadside skipper,Summer,2020 Summer,1,1
Amblyscirtes eos,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Dotted roadside skipper,Summer,2019 Summer,2,2
Amblyscirtes eos,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Dotted roadside skipper,Summer,2020 Summer,4,4
Amblyscirtes exoteria,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Large roadside skipper,Summer,2019 Summer,4,4
Amblyscirtes exoteria,PortalAZ,2019,07/25/2019,AZ,4,206,Large roadside skipper,Summer,2019 Summer,25,25
Amblyscirtes exoteria,PortalAZ,2020,08/02/2020,AZ,21,215,Large roadside skipper,Summer,2020 Summer,13,13
Amblyscirtes exoteria,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Large roadside skipper,Summer,2019 Summer,20,20
Amblyscirtes exoteria,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Large roadside skipper,Summer,2020 Summer,14,14
Amblyscirtes exoteria,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Large roadside skipper,Summer,2019 Summer,1,1
Amblyscirtes exoteria,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Large roadside skipper,Summer,2019 Summer,14,14
Amblyscirtes exoteria,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Large roadside skipper,Summer,2020 Summer,7,7
Amblyscirtes fimbriata,PortalAZ,2019,07/25/2019,AZ,4,206,Orange-edged roadside skipper,Summer,2019 Summer,36,36
Amblyscirtes fimbriata,PortalAZ,2020,08/02/2020,AZ,21,215,Orange-edged roadside skipper,Summer,2020 Summer,11,11
Amblyscirtes fimbriata,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Orange-edged roadside skipper,Summer,2019 Summer,3,3
Amblyscirtes fimbriata,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Orange-edged roadside skipper,Summer,2020 Summer,12,12
