species,median,up,low,probPos,probNeg
Oarisma edwardsii,-0.072,-2.476,2.574,0.416,0.584
Oarisma garita,-0.013,-0.162,0.135,0.422,0.578
Ochlodes agricola,-0.019,-0.099,0.06,0.309,0.691
Ochlodes sylvanoides,0.02,-0.08,0.112,0.668,0.332
Ochlodes yuma,-0.012,-2.484,2.356,0.486,0.514
Oeneis chryxus,-0.013,-0.171,0.154,0.432,0.568
Oeneis melissa,0.085,0.124,0.047,1,0
Oeneis nevadensis,0.044,-0.371,0.475,0.613,0.387
Oeneis taygete,-0.043,-0.008,-0.08,0.008,0.992
Oeneis uhleri,0.1,-2.498,2.81,0.604,0.396
Papilio cresphontes,0.024,-0.374,0.436,0.566,0.434
Papilio eurymedon,-0.001,-0.033,0.032,0.483,0.517
Papilio indra,-0.03,-0.434,0.359,0.416,0.584
Papilio multicaudata,0.01,-0.034,0.058,0.679,0.321
Papilio polyxenes,-0.024,-0.173,0.122,0.354,0.646
Papilio rutulus,0.011,-0.012,0.034,0.824,0.176
Papilio zelicaon,-0.009,-0.049,0.031,0.319,0.681
Paramacera allyni,-0.051,-0.017,-0.085,0.001,0.999
Paratrytone snowi,-0.005,-0.746,0.721,0.489,0.511
Parnassius clodius,-0.003,-0.138,0.134,0.484,0.516
Parnassius phoebus,-0.066,-0.264,0.127,0.222,0.778
Phoebis agarithe,-0.027,-0.739,0.673,0.445,0.555
Phoebis sennae,0.038,-0.114,0.186,0.714,0.286
Pholisora catullus,-0.038,-0.131,0.055,0.198,0.802
Phyciodes campestris,0.004,-0.034,0.044,0.574,0.426
Phyciodes mylitta,0.004,-0.032,0.039,0.59,0.41
Phyciodes pallida,-0.052,-2.245,2.216,0.443,0.557
Phyciodes picta,0.033,-0.69,0.722,0.565,0.435
Phyciodes selenis,-0.037,-0.198,0.121,0.305,0.695
Phyciodes texana,-0.04,-0.74,0.687,0.421,0.579
Phyciodes tharos,-0.028,-0.418,0.394,0.424,0.576
Pieris napi,-0.011,-0.097,0.076,0.399,0.601
Pieris rapae,-0.034,-0.061,-0.007,0.007,0.993
Piruna cingo,0.072,-0.657,0.815,0.628,0.372
Piruna pirus,-0.038,-0.263,0.182,0.343,0.657
Piruna polingi,0.027,-2.431,2.78,0.53,0.47
Plebejus acmon,-0.024,-0.051,0.003,0.039,0.961
Plebejus icarioides,-0.017,-0.067,0.033,0.248,0.752
Plebejus lupini,-0.031,-0.164,0.107,0.305,0.695
Plebejus neurona,-0.277,-0.159,-0.404,0,1
Plebejus saepiolus,0.018,-0.053,0.089,0.702,0.298
Plebejus shasta,0.011,-2.559,2.659,0.513,0.487
Poanes melane,0.047,-0.038,0.128,0.875,0.125
Poanes taxiles,0.005,-0.115,0.125,0.539,0.461
Poladryas arachne,-0.029,-2.409,2.475,0.467,0.533
Polites carus,-0.034,-0.789,0.693,0.437,0.563
Polites draco,0.001,-2.411,2.237,0.501,0.499
Polites mystic,-0.007,-0.401,0.382,0.481,0.519
Polites origenes,0.056,-2.755,2.672,0.559,0.441
Polites peckius,-0.087,-2.567,2.204,0.405,0.595
Polites sabuleti,-0.041,-0.191,0.114,0.274,0.726
