"lat","lon","elev"
38.56565,-121.485099,4
37.87048,-121.918502,783
36.069867,-121.598992,200
37.914025,-122.38288,2
45.804474,-116.686306,316
39.254621,-105.226767,1957
34.038125,-118.752244,130
37.762333,-122.437667,55
38.052985,-122.841825,201
37.899148,-121.868282,200
36.550626,-121.069375,696
31.714645,-110.875747,1751
36.636988,-121.93563,0
38.885532,-123.050591,119
37.958295,-122.360943,6
35.276226,-120.879105,88
37.876897,-119.349024,2717
32.934709,-105.966302,1356
36.268146,-115.657976,2616
39.3375,-123.7584,174
45.599116,-122.111235,4
38.064717,-122.809896,1
37.683845,-122.43242,276
37.833412,-122.063811,513
37.453982,-122.097678,0
37.341264,-122.202902,479
37.770282,-122.509274,0
31.497001,-110.84674,1165
34.060421,-118.536016,321
38.917653,-120.025872,1922
37.684253,-118.80418,2103
33.812975,-118.085856,14
32.401466,-110.687791,2030
40.151662,-104.991235,1482
33.838342,-117.778913,218
34.055722,-118.271058,94
45.498245,-110.988727,2014
31.725088,-110.880087,1484
37.21162,-121.88183,119
37.737909,-122.431613,100
33.773226,-116.368967,84
42.080966,-122.481326,1670
36.308162,-115.627382,2798
33.572951,-117.762467,53
37.765255,-122.442834,158
39.360713,-106.048308,3703
40.763225,-111.822842,1549
32.970879,-116.955307,760
37.472406,-122.443528,0
32.354241,-110.938707,936
37.807006,-122.258928,13
37.743194,-122.398191,2
34.344485,-118.399906,767
31.390571,-111.106882,1220
33.486256,-111.44145,653
37.964127,-122.13885,154
38.831128,-106.150025,2450
42.203532,-122.700272,538
39.229022,-123.387885,355
36.952905,-122.056754,16
35.002803,-106.317675,2315
47.323814,-120.691852,965
32.98489,-105.664252,2540
40.087167,-105.252358,1623
33.840565,-116.612878,804
40.044328,-120.88615,2167
38.819452,-108.38034,1469
37.552199,-122.092438,33
37.177337,-122.323622,204
34.176909,-118.473043,218
33.796375,-111.495309,709
33.74563,-117.68074,306
39.004426,-122.365079,464
37.905927,-121.919811,346
31.538859,-110.760641,1236
32.242243,-111.170869,876
37.160179,-121.873823,700
32.882124,-117.037772,208
39.596313,-121.54869,391
33.764936,-111.958554,607
33.970565,-117.318713,357
32.697753,-116.928611,595
45.571382,-122.687282,60
37.810167,-122.365588,0
39.423155,-122.179731,24
35.193827,-106.401461,2578
38.446239,-122.706105,55
37.922436,-122.200831,172
38.348141,-122.533554,223
34.11384,-118.222555,198
34.133442,-117.85261,257
32.599367,-116.844643,985
37.430829,-122.007873,0
34.18468,-119.222205,10
37.986629,-122.047594,10
32.980724,-116.581186,1416
37.497557,-122.374536,271
47.404076,-122.265444,4
35.206716,-111.655371,2113
33.851691,-118.479129,0
38.689535,-120.011933,2543
33.95881,-109.51395,2875
36.797103,-121.683197,81
37.883322,-121.976845,152
36.400127,-121.57745,516
36.955557,-122.060485,13
40.305497,-121.232392,1384
36.949681,-122.06559,0
38.740295,-121.146942,130
32.31259,-110.741961,1107
40.312961,-104.801756,1437
34.023569,-118.417552,47
34.397811,-117.828341,1524
38.180571,-121.629981,-2
31.82614,-110.930185,973
37.364015,-122.176528,243
37.743571,-119.75647,1834
34.196225,-118.022653,586
36.983152,-122.026906,25
34.05426,-118.142555,172
34.017577,-118.287734,65
42.791094,-112.435449,1675
33.256142,-119.486008,130
34.133413,-117.852515,257
38.514537,-122.865903,14
42.968533,-123.470446,514
32.232875,-110.900335,765
37.090856,-121.721772,223
37.326638,-121.891186,33
38.349033,-119.34202,2392
35.081272,-106.672172,1511
45.111828,-117.014723,1379
38.469516,-123.018076,122
34.350036,-117.702748,1766
37.89471,-122.304665,105
32.815368,-116.873062,419
31.398685,-111.088775,1204
32.451696,-110.754357,2414
34.111113,-117.714567,411
37.353297,-122.24195,514
32.673049,-117.023706,30
36.133178,-105.476732,2854
39.702223,-105.310523,2295
32.207218,-110.987695,720
38.366897,-119.480378,2279
39.03117,-117.025589,1695
32.394213,-111.131419,635
39.326256,-119.925996,2830
