"","reps","median","low","up","prob"
"",22,-0.001,-0.063,0.061,0.508
"",22,0.002,-0.064,0.064,0.52
"",22,-0.013,-0.064,0.039,0.701
"",22,-0.032,-0.087,0.021,0.884
"",22,-0.012,-0.073,0.052,0.648
"",22,-0.005,-0.059,0.048,0.573
"",22,-0.033,-0.09,0.024,0.876
"",22,0.024,-0.039,0.087,0.78
"",22,-0.021,-0.084,0.046,0.744
"",22,-0.004,-0.052,0.042,0.565
"",22,-0.053,-0.108,0,0.972
"",22,-0.007,-0.075,0.065,0.577
"",22,-0.031,-0.081,0.018,0.901
"",22,-0.035,-0.087,0.019,0.908
"",22,0,-0.069,0.067,0.501
"",22,-0.004,-0.052,0.046,0.563
"",22,0.003,-0.059,0.066,0.545
"",22,-0.027,-0.077,0.025,0.859
"",22,-0.025,-0.073,0.02,0.863
"",22,-0.045,-0.101,0.012,0.942
"",22,-0.001,-0.063,0.062,0.514
"",22,-0.026,-0.074,0.023,0.857
"",22,-0.019,-0.074,0.035,0.765
"",22,-0.029,-0.094,0.037,0.82
"",22,-0.008,-0.059,0.046,0.626
"",22,-0.018,-0.074,0.037,0.746
"",22,-0.041,-0.101,0.015,0.923
"",22,-0.007,-0.07,0.057,0.588
"",22,-0.033,-0.085,0.019,0.901
"",22,0.002,-0.045,0.048,0.536
"",22,-0.023,-0.077,0.031,0.803
"",22,-0.017,-0.067,0.035,0.744
"",22,0.006,-0.055,0.069,0.575
"",22,-0.023,-0.076,0.03,0.802
"",22,-0.023,-0.074,0.029,0.819
"",22,-0.026,-0.078,0.025,0.85
"",22,-0.02,-0.069,0.028,0.802
"",22,-0.01,-0.074,0.055,0.623
"",22,-0.02,-0.072,0.036,0.769
"",22,-0.012,-0.067,0.041,0.676
"",22,-0.011,-0.061,0.037,0.676
"",22,-0.021,-0.07,0.028,0.809
"",22,-0.048,-0.104,0.008,0.956
"",22,-0.024,-0.093,0.042,0.772
"",22,-0.028,-0.085,0.03,0.842
"",22,-0.014,-0.067,0.039,0.71
"",22,-0.022,-0.075,0.032,0.795
"",22,-0.012,-0.064,0.037,0.695
"",22,-0.026,-0.075,0.024,0.856
"",22,-0.047,-0.098,0.006,0.962
"",22,-0.025,-0.078,0.028,0.829
"",22,-0.023,-0.071,0.025,0.838
"",22,-0.015,-0.069,0.038,0.716
"",22,-0.026,-0.094,0.038,0.794
"",22,-0.02,-0.076,0.035,0.776
"",22,0.004,-0.049,0.055,0.56
"",22,-0.024,-0.082,0.034,0.801
"",22,0.015,-0.052,0.079,0.684
"",22,-0.011,-0.077,0.052,0.631
"",22,0.003,-0.051,0.057,0.546
"",22,-0.02,-0.069,0.03,0.801
"",22,-0.028,-0.088,0.034,0.821
"",22,-0.021,-0.077,0.031,0.785
"",22,0.004,-0.048,0.055,0.556
"",22,-0.034,-0.086,0.023,0.891
"",22,-0.019,-0.084,0.051,0.708
"",22,-0.027,-0.078,0.022,0.864
"",22,-0.017,-0.074,0.038,0.732
"",22,-0.02,-0.073,0.036,0.77
"",32,-0.023,-0.06,0.012,0.894
"",32,-0.016,-0.062,0.03,0.762
"",32,-0.023,-0.058,0.015,0.892
"",32,-0.008,-0.044,0.028,0.684
"",32,-0.023,-0.059,0.013,0.898
"",32,-0.034,-0.071,0.002,0.966
"",32,-0.01,-0.054,0.035,0.669
"",32,-0.009,-0.049,0.032,0.675
"",32,-0.018,-0.063,0.026,0.795
"",32,0.005,-0.039,0.05,0.594
"",32,-0.028,-0.069,0.015,0.913
"",32,-0.038,-0.077,0,0.972
"",32,-0.019,-0.063,0.027,0.804
"",32,-0.01,-0.059,0.04,0.653
"",32,-0.023,-0.068,0.023,0.843
"",32,-0.019,-0.067,0.029,0.79
"",32,-0.035,-0.071,0.002,0.97
"",32,-0.012,-0.06,0.035,0.7
"",32,-0.034,-0.073,0.004,0.96
"",32,-0.028,-0.065,0.01,0.93
"",32,-0.031,-0.069,0.005,0.95
"",32,-0.019,-0.059,0.022,0.83
"",32,-0.028,-0.077,0.02,0.876
"",32,-0.019,-0.056,0.018,0.851
"",32,-0.012,-0.054,0.031,0.715
"",32,-0.013,-0.058,0.031,0.718
"",32,-0.012,-0.052,0.025,0.745
"",32,-0.035,-0.073,0.003,0.964
"",32,-0.029,-0.065,0.008,0.94
"",32,-0.035,-0.07,0,0.976
"",32,-0.008,-0.055,0.036,0.649
"",32,-0.034,-0.075,0.007,0.948
"",32,-0.028,-0.076,0.018,0.887
"",32,-0.034,-0.072,0.004,0.962
"",32,-0.015,-0.054,0.023,0.775
"",32,-0.016,-0.055,0.025,0.791
"",32,-0.01,-0.055,0.035,0.677
"",32,-0.022,-0.063,0.018,0.862
"",32,-0.027,-0.068,0.016,0.899
"",32,-0.015,-0.063,0.031,0.745
"",32,-0.006,-0.048,0.041,0.602
"",32,-0.009,-0.048,0.029,0.677
"",32,-0.032,-0.069,0.006,0.952
"",32,-0.019,-0.058,0.02,0.832
"",32,-0.021,-0.06,0.018,0.853
"",32,-0.005,-0.049,0.038,0.596
"",32,-0.005,-0.047,0.037,0.596
"",32,-0.039,-0.074,-0.005,0.985
"",32,-0.023,-0.059,0.014,0.898
"",32,-0.03,-0.068,0.009,0.939
"",32,-0.027,-0.064,0.011,0.921
"",32,-0.024,-0.073,0.025,0.846
"",32,-0.031,-0.068,0.005,0.955
"",32,-0.043,-0.08,-0.006,0.989
"",32,-0.017,-0.057,0.022,0.809
"",32,-0.011,-0.058,0.034,0.689
"",32,-0.031,-0.07,0.009,0.939
"",32,-0.006,-0.055,0.041,0.604
"",32,-0.02,-0.058,0.019,0.848
"",32,-0.01,-0.056,0.036,0.666
"",32,0,-0.045,0.044,0.508
"",32,-0.016,-0.056,0.023,0.798
"",32,0.007,-0.032,0.049,0.637
"",32,-0.041,-0.084,0,0.972
"",32,-0.016,-0.056,0.025,0.788
"",32,-0.023,-0.057,0.012,0.908
"",32,-0.025,-0.065,0.013,0.896
"",32,-0.025,-0.065,0.015,0.895
"",32,-0.024,-0.059,0.011,0.913
"",32,-0.001,-0.044,0.046,0.518
"",32,-0.03,-0.068,0.009,0.936
"",32,-0.032,-0.073,0.009,0.94
"",32,0.006,-0.034,0.046,0.622
"",32,-0.006,-0.056,0.043,0.595
"",32,-0.018,-0.057,0.019,0.832
"",32,-0.029,-0.067,0.009,0.933
"",32,-0.038,-0.077,0,0.973
"",32,-0.016,-0.063,0.032,0.756
"",32,-0.016,-0.052,0.02,0.816
"",32,-0.026,-0.068,0.016,0.894
"",32,-0.016,-0.064,0.032,0.752
"",32,-0.011,-0.057,0.039,0.67
"",32,-0.031,-0.072,0.008,0.939
"",32,-0.028,-0.062,0.008,0.941
"",32,-0.04,-0.078,-0.003,0.981
"",32,-0.018,-0.057,0.021,0.82
"",32,-0.028,-0.065,0.008,0.935
"",32,-0.009,-0.055,0.038,0.657
"",32,0.001,-0.032,0.033,0.533
"",32,-0.022,-0.062,0.014,0.879
"",32,-0.013,-0.061,0.034,0.706
"",32,-0.003,-0.044,0.038,0.561
"",32,-0.019,-0.062,0.022,0.822
"",32,-0.009,-0.044,0.026,0.69
"",32,-0.023,-0.065,0.016,0.869
"",32,-0.016,-0.063,0.03,0.751
"",32,-0.026,-0.067,0.014,0.901
"",32,0,-0.046,0.048,0.506
"",32,-0.012,-0.062,0.033,0.701
"",32,-0.021,-0.061,0.017,0.865
"",42,-0.006,-0.04,0.028,0.639
"",42,-0.019,-0.05,0.012,0.891
"",42,-0.028,-0.056,0.002,0.97
"",42,-0.018,-0.055,0.02,0.83
"",42,-0.015,-0.052,0.019,0.806
"",42,-0.016,-0.055,0.02,0.803
"",42,-0.022,-0.052,0.008,0.927
"",42,-0.01,-0.046,0.027,0.71
"",42,-0.011,-0.041,0.019,0.758
"",42,-0.023,-0.051,0.007,0.942
"",42,-0.01,-0.036,0.017,0.76
"",42,-0.019,-0.049,0.012,0.898
"",42,-0.027,-0.059,0.007,0.948
"",42,-0.018,-0.049,0.015,0.866
"",42,-0.011,-0.046,0.025,0.732
"",42,-0.008,-0.037,0.021,0.699
"",42,-0.017,-0.051,0.018,0.833
"",42,-0.016,-0.052,0.02,0.809
"",42,-0.028,-0.059,0.001,0.969
"",42,-0.024,-0.056,0.008,0.931
"",42,-0.016,-0.053,0.017,0.826
"",42,-0.017,-0.055,0.021,0.816
"",42,-0.025,-0.055,0.005,0.951
"",42,-0.007,-0.042,0.029,0.644
"",42,-0.006,-0.039,0.029,0.64
"",42,-0.02,-0.051,0.013,0.893
"",42,-0.003,-0.038,0.032,0.57
"",42,-0.007,-0.04,0.027,0.654
"",42,-0.033,-0.063,-0.002,0.984
"",42,-0.021,-0.057,0.015,0.877
"",42,-0.021,-0.056,0.014,0.888
"",42,-0.011,-0.038,0.017,0.78
"",42,-0.023,-0.058,0.013,0.901
