"","reps","median","low","up","prob"
"",22,-0.025,-0.077,0.023,0.832
"",22,-0.026,-0.082,0.031,0.824
"",22,-0.017,-0.06,0.031,0.771
"",22,0.002,-0.044,0.05,0.528
"",22,-0.024,-0.073,0.021,0.841
"",22,-0.024,-0.076,0.028,0.826
"",22,-0.031,-0.082,0.025,0.877
"",22,-0.027,-0.078,0.025,0.851
"",22,-0.019,-0.072,0.033,0.768
"",22,-0.007,-0.053,0.044,0.609
"",22,-0.005,-0.053,0.04,0.601
"",22,-0.011,-0.056,0.037,0.686
"",22,-0.02,-0.073,0.034,0.772
"",22,-0.019,-0.068,0.027,0.784
"",22,-0.008,-0.056,0.045,0.62
"",22,-0.005,-0.051,0.043,0.574
"",22,-0.028,-0.083,0.029,0.846
"",22,-0.021,-0.074,0.028,0.782
"",22,-0.03,-0.083,0.02,0.886
"",22,-0.025,-0.081,0.03,0.831
"",22,-0.006,-0.057,0.045,0.589
"",22,-0.003,-0.057,0.043,0.542
"",22,-0.026,-0.08,0.032,0.824
"",22,-0.021,-0.069,0.034,0.778
"",22,-0.022,-0.067,0.025,0.836
"",22,-0.044,-0.094,0.009,0.957
"",22,-0.012,-0.063,0.037,0.674
"",22,-0.024,-0.07,0.03,0.82
"",22,-0.014,-0.06,0.036,0.73
"",22,-0.008,-0.056,0.039,0.649
"",22,-0.01,-0.06,0.042,0.65
"",22,-0.005,-0.051,0.044,0.584
"",22,0.004,-0.047,0.053,0.568
"",22,-0.009,-0.056,0.037,0.643
"",22,-0.025,-0.078,0.028,0.825
"",22,-0.015,-0.065,0.034,0.749
"",22,-0.01,-0.06,0.036,0.659
"",22,-0.013,-0.061,0.036,0.696
"",32,-0.016,-0.052,0.02,0.804
"",32,-0.009,-0.047,0.029,0.683
"",32,-0.015,-0.049,0.018,0.797
"",32,-0.016,-0.05,0.019,0.827
"",32,-0.017,-0.052,0.022,0.816
"",32,-0.021,-0.062,0.016,0.861
"",32,-0.004,-0.039,0.031,0.582
"",32,-0.024,-0.061,0.014,0.885
"",32,-0.01,-0.048,0.023,0.731
"",32,-0.016,-0.054,0.021,0.795
"",32,-0.022,-0.055,0.013,0.892
"",32,-0.029,-0.064,0.005,0.951
"",32,-0.009,-0.044,0.023,0.704
"",32,-0.01,-0.047,0.024,0.712
"",32,-0.012,-0.047,0.027,0.752
"",32,-0.018,-0.049,0.014,0.862
"",32,-0.008,-0.041,0.023,0.701
"",32,-0.008,-0.046,0.027,0.671
"",32,-0.019,-0.054,0.021,0.845
"",32,-0.025,-0.064,0.006,0.92
"",32,-0.022,-0.058,0.009,0.9
"",32,-0.009,-0.043,0.024,0.713
"",32,-0.024,-0.062,0.009,0.91
"",32,-0.023,-0.057,0.014,0.905
"",32,-0.021,-0.055,0.018,0.878
"",32,-0.024,-0.06,0.009,0.909
"",32,-0.018,-0.053,0.017,0.837
"",32,-0.021,-0.055,0.013,0.888
"",32,-0.019,-0.054,0.019,0.843
"",32,-0.02,-0.059,0.014,0.876
"",32,-0.011,-0.048,0.028,0.721
"",32,-0.011,-0.041,0.026,0.725
"",32,-0.007,-0.038,0.029,0.66
"",32,-0.015,-0.044,0.017,0.821
"",32,-0.016,-0.058,0.019,0.803
"",32,-0.009,-0.044,0.026,0.715
"",32,-0.023,-0.058,0.009,0.922
"",32,-0.02,-0.055,0.015,0.874
"",32,-0.011,-0.04,0.021,0.762
"",32,0.009,-0.023,0.044,0.715
"",32,-0.007,-0.039,0.023,0.656
"",32,-0.026,-0.065,0.004,0.937
"",32,-0.009,-0.043,0.024,0.714
"",32,-0.017,-0.051,0.015,0.848
"",32,-0.02,-0.053,0.014,0.877
"",32,-0.016,-0.05,0.017,0.831
"",32,-0.019,-0.055,0.019,0.846
"",32,-0.022,-0.062,0.016,0.875
"",32,-0.012,-0.046,0.021,0.779
"",32,-0.015,-0.052,0.017,0.814
"",32,-0.007,-0.042,0.03,0.667
"",32,-0.007,-0.04,0.026,0.663
"",32,-0.007,-0.04,0.029,0.65
"",32,-0.02,-0.053,0.017,0.871
"",32,-0.023,-0.057,0.014,0.894
"",32,-0.006,-0.042,0.029,0.63
"",32,-0.017,-0.055,0.019,0.824
"",32,-0.029,-0.065,0.009,0.939
"",32,0.001,-0.032,0.031,0.514
"",32,-0.03,-0.07,0.005,0.947
"",32,-0.025,-0.062,0.008,0.927
"",32,0.007,-0.029,0.038,0.641
"",32,-0.013,-0.048,0.022,0.775
"",32,-0.017,-0.055,0.02,0.824
"",32,-0.009,-0.045,0.028,0.68
"",32,-0.026,-0.061,0.013,0.922
"",32,-0.009,-0.043,0.024,0.709
"",32,-0.008,-0.042,0.026,0.675
